"cons","edo","mun","loc","s7c7gp01","s7c7gp07","s7c7gp08","s7c7gp09","s7c7gp09_c","s7c7gp10","s7c7gp11","s7c7gp12","s7c7gp12_c","s7c7gp13","pagoAnual"
"2075","18","015","0073","2","1",1,100,"1",12,0,NA,NA,NA,4800
"1052","08","007","0001","1","1",2,900,"2",2,0,NA,NA,NA,3600
"2200","20","260","0002","2","1",1,100,"3",NA,0,NA,NA,NA,100
"2103","18","018","0013","1","1",1,100,"1",12,0,NA,NA,NA,4800
"1943","32","038","0113","1","1",1,125,"1",12,0,NA,NA,NA,6000
"1554","05","030","0073","1","1",1,100,"3",NA,0,NA,NA,NA,100
"1571","10","004","0054","1","1",1,700,"1",12,0,NA,NA,NA,33600
"0304","15","113","0021","5","1",1,100,"1",12,0,NA,NA,NA,4800
"1754","11","037","0003","2","1",1,0,NA,12,0,NA,NA,NA,NA
"2389","20","406","0061","2","1",3,600,"1",1,0,NA,NA,NA,7200
"1199","03","008","0198","1","1",1,150,"1",12,0,NA,NA,NA,7200
"0563","12","001","0297","1","1",1,0,"3",6,0,NA,NA,NA,0
"1545","05","030","0073","1","1",2,100,"1",12,0,NA,NA,NA,9600
"2389","20","406","0061","1","1",3,600,"1",1,0,NA,NA,NA,7200
"2547","28","034","0001","1","1",1,100,"1",12,0,NA,NA,NA,4800
"1253","27","013","0015","1","1",1,150,"1",12,0,NA,NA,NA,7200
"2075","18","015","0073","1","1",1,100,"1",12,0,NA,NA,NA,4800
"1222","04","006","0057","1","1",1,300,"2",12,0,NA,NA,NA,3600
"1177","03","008","1030","1","1",1,500,"1",12,0,NA,NA,NA,24000
"1255","27","013","0015","1","1",1,1000,"1",5,0,NA,NA,NA,20000
"1541","05","030","0073","5","1",1,300,"1",12,0,NA,NA,NA,14400
"1869","11","030","0109","1","1",2,600,"1",12,0,NA,NA,NA,57600
"2233","20","453","0001","5","1",1,150,"1",12,0,NA,NA,NA,7200
"1175","03","008","1030","1","1",1,500,"1",12,0,NA,NA,NA,24000
"0209","15","124","0032","1","1",1,1000,"1",12,0,NA,NA,NA,48000
